IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,DOT_ID,processed_at
DVL,Devils Lake Regional Airport,Devils Lake,ND,USA,48.11425,-98.90878,11447,2026-08-11 04:08:10
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,USA,44.86526,-91.48507,11471,2026-08-11 04:08:10
ECP,Northwest Florida Beaches International Airport,Panama City,FL,USA,,,11481,2026-08-11 04:08:10
EGE,Eagle County Regional Airport,Eagle,CO,USA,39.64257,-106.9177,11503,2026-08-11 04:08:10
EKO,Elko Regional Airport,Elko,NV,USA,40.82493,-115.7917,11525,2026-08-11 04:08:10
ELM,Elmira/Corning Regional Airport,Elmira,NY,USA,42.15991,-76.89144,11537,2026-08-11 04:08:10
ELP,El Paso International Airport,El Paso,TX,USA,31.80667,-106.37781,11540,2026-08-11 04:08:10
ERI,Erie International Airport,Erie,PA,USA,42.08202,-80.17622,11577,2026-08-11 04:08:10
ESC,Delta County Airport,Escanaba,MI,USA,45.72267,-87.09373,11587,2026-08-11 04:08:10
EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA,44.12326,-123.21869,11603,2026-08-11 04:08:10
EVV,Evansville Regional Airport,Evansville,IN,USA,38.03799,-87.53063,11612,2026-08-11 04:08:10
EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,USA,35.07297,-77.04294,11617,2026-08-11 04:08:10
EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866,11618,2026-08-11 04:08:10
EYW,Key West International Airport,Key West,FL,USA,24.55611,-81.75956,11624,2026-08-11 04:08:10
FAI,Fairbanks International Airport,Fairbanks,AK,USA,64.81368,-147.85967,11630,2026-08-11 04:08:10
FAR,Hector International Airport,Fargo,ND,USA,46.91935,-96.81499,11637,2026-08-11 04:08:10
FAT,Fresno Yosemite International Airport,Fresno,CA,USA,36.77619,-119.71814,11638,2026-08-11 04:08:10
FAY,Fayetteville Regional Airport,Fayetteville,NC,USA,34.99147,-78.88,11641,2026-08-11 04:08:10
FCA,Glacier Park International Airport,Kalispell,MT,USA,48.3114,-114.25507,11648,2026-08-11 04:08:10
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA,35.13845,-111.67122,11695,2026-08-11 04:08:10
